Word,Start,End,length,time_spent,std_time_spent,speed,post_space,amplitude,pitch,time,var_amplitude,min_var_pitch,avg_var_pitch,max_var_pitch
"compassion,",0.8,1.54,11,0.74,0.0672727272727272,14.864864864864863,0.24,1.8993445411262364,77.66271064466379,1.17,0.3263404567122078,0.0019717015957257267,12.7637325475134,133.8183814374944
"beauty,",1.78,2.02,7,0.24,0.0342857142857142,29.166666666666668,0.2200000000000002,1.9949662856943613,116.12294984428011,1.9,0.4447341436480044,0.0019717015957257267,12.7637325475134,133.8183814374944
"love,",2.24,2.62,5,0.3799999999999999,0.0759999999999999,13.15789473684211,0.2599999999999998,1.521049920402359,125.39417609939836,2.43,0.0372364716413661,0.0019717015957257267,12.7637325475134,133.8183814374944
"faith,",2.88,3.34,6,0.4599999999999999,0.0766666666666666,13.043478260869566,0.2400000000000002,1.2338252631957425,,3.11,0.0088844040719491,0.0019717015957257267,12.7637325475134,133.8183814374944
words,3.58,3.76,5,0.1799999999999997,0.0359999999999999,27.77777777777782,0.0,2.7958823229781595,74.40657444285459,3.67,2.1544366725491075,0.0019717015957257267,12.7637325475134,133.8183814374944
that,3.76,4.0,4,0.2400000000000002,0.06,16.666666666666654,0.0,2.000361731420647,97.74230642152094,3.88,0.4519595263201927,0.0019717015957257267,12.7637325475134,133.8183814374944
mean,4.0,4.2,4,0.2000000000000001,0.05,19.999999999999982,0.0,0.9308611993738146,82.24417543607754,4.1,0.1577846663536433,0.0019717015957257267,12.7637325475134,133.8183814374944
truth,4.2,4.4,5,0.2000000000000001,0.04,24.99999999999998,0.0,1.2219288184922212,71.53896954497145,4.300000000000001,0.0112685786249501,0.0019717015957257267,12.7637325475134,133.8183814374944
to,4.4,4.58,2,0.1799999999999997,0.0899999999999998,11.111111111111128,0.0,0.8776421060768621,,4.49,0.2028964403896219,0.0019717015957257267,12.7637325475134,133.8183814374944
me.,4.58,4.88,3,0.2999999999999998,0.0999999999999999,10.000000000000004,0.3200000000000003,0.3574779898966845,77.55663352433449,4.73,0.9420728821259052,0.0019717015957257267,12.7637325475134,133.8183814374944
Truth,5.2,5.5,5,0.2999999999999998,0.0599999999999999,16.666666666666675,0.0,1.5238932154058429,82.25812885804575,5.35,0.0383418832546525,0.0019717015957257267,12.7637325475134,133.8183814374944
is,5.5,5.66,2,0.1600000000000001,0.08,12.49999999999999,0.0,2.1701126677527283,118.96637045894212,5.58,0.7090150054599101,0.0019717015957257267,12.7637325475134,133.8183814374944
like,5.66,5.86,4,0.2000000000000001,0.05,19.999999999999982,0.0,0.9141088195516552,84.61750393178912,5.76,0.1713741087665192,0.0019717015957257267,12.7637325475134,133.8183814374944
a,5.86,6.06,1,0.1999999999999993,0.1999999999999993,5.000000000000018,0.0,1.5518855782709329,66.55254772207749,5.96,0.0500878715475188,0.0019717015957257267,12.7637325475134,133.8183814374944
flower,6.06,6.24,6,0.1800000000000006,0.0300000000000001,33.33333333333322,0.0,1.0536154289049742,109.03193627935052,6.15,0.0753321072541664,0.0019717015957257267,12.7637325475134,133.8183814374944
in,6.24,6.46,2,0.2199999999999997,0.1099999999999998,9.0909090909091,0.0,1.1045622768547088,108.33205174573312,6.35,0.0499612365188501,0.0019717015957257267,12.7637325475134,133.8183814374944
"bloom,",6.46,6.7,6,0.2400000000000002,0.04,24.99999999999998,0.4799999999999995,0.7063186579245921,98.25968880498884,6.58,0.3865901261134564,0.0019717015957257267,12.7637325475134,133.8183814374944
beautiful,7.18,7.38,9,0.2000000000000001,0.0222222222222222,44.99999999999996,0.0,1.5285176438698629,79.42126532259552,7.279999999999999,0.0401742949947186,0.0019717015957257267,12.7637325475134,133.8183814374944
and,7.38,7.64,3,0.2599999999999998,0.0866666666666666,11.538461538461547,0.0,1.2980043556379686,112.61296373449134,7.51,0.0009046875507028,0.0019717015957257267,12.7637325475134,133.8183814374944
unique,7.64,7.84,6,0.2000000000000001,0.0333333333333333,29.999999999999975,0.0,0.6379097529307034,64.69220455998553,7.74,0.4763382551828093,0.0019717015957257267,12.7637325475134,133.8183814374944
to,7.84,8.04,2,0.1999999999999993,0.0999999999999996,10.000000000000036,0.0,1.0950631900961412,81.39538159793646,7.94,0.0542979428725918,0.0019717015957257267,12.7637325475134,133.8183814374944
