Word,Start,End,length,time_spent,std_time_spent,speed,post_space,amplitude,pitch,time
"Hello,",0.0,0.42,6,0.42,0.06999999999999999,14.285714285714286,0.6400000000000001,0.044548382600645274,223.10246347939383,0.21
"hello,",1.06,1.08,6,0.020000000000000018,0.003333333333333336,299.9999999999997,0.26,0.03982308949069757,,1.07
"um,",1.34,1.68,3,0.33999999999999986,0.11333333333333329,8.82352941176471,0.5200000000000002,0.13995727108359377,137.22528967170888,1.51
"okay,",2.2,2.38,5,0.17999999999999972,0.03599999999999994,27.77777777777782,0.1200000000000001,0.10934470413997217,,2.29
this,2.5,2.64,4,0.14000000000000012,0.03500000000000003,28.571428571428545,0.0,0.0792875863668318,,2.5700000000000003
is,2.64,2.74,2,0.10000000000000009,0.050000000000000044,19.999999999999982,0.0,0.056439940870947995,161.57379832052047,2.6900000000000004
a,2.74,2.92,1,0.17999999999999972,0.17999999999999972,5.555555555555564,0.0,0.06558605998291259,,2.83
random,2.92,3.18,6,0.26000000000000023,0.04333333333333337,23.076923076923055,0.0,0.05266361682391407,,3.05
"test,",3.18,3.46,5,0.2799999999999998,0.05599999999999996,17.85714285714287,0.06000000000000005,0.03706530090129135,,3.3200000000000003
I,3.52,3.6,1,0.08000000000000007,0.08000000000000007,12.49999999999999,0.0,0.2791612344298685,,3.56
don't,3.6,3.68,5,0.08000000000000007,0.016000000000000014,62.49999999999994,0.0,0.19691653807032602,,3.64
know,3.68,3.78,4,0.09999999999999964,0.02499999999999991,40.00000000000014,0.0,0.163123223393254,89.83639867413271,3.73
what,3.78,3.88,4,0.10000000000000009,0.025000000000000022,39.999999999999964,0.0,0.0742084161203687,88.24316121935948,3.83
I'm,3.88,4.04,3,0.16000000000000014,0.05333333333333338,18.749999999999982,0.0,0.033315865963626665,85.22714362564544,3.96
saying.,4.04,4.2,7,0.16000000000000014,0.022857142857142878,43.749999999999964,0.7199999999999998,0.00996089370211726,,4.12
"Um,",4.92,5.64,3,0.7199999999999998,0.2399999999999999,4.166666666666668,0.54,0.2230716798128086,108.1208568984206,5.279999999999999
if,6.18,6.34,2,0.16000000000000014,0.08000000000000007,12.49999999999999,0.0,-0.14963360791870517,94.13640822591731,6.26
this,6.34,6.68,4,0.33999999999999986,0.08499999999999996,11.764705882352946,0.0,-177.40540695568254,87.76997281725734,6.51
works,6.68,7.38,5,0.7000000000000002,0.14000000000000004,7.1428571428571415,0.0,-4346.6014577513815,84.95375171501837,7.029999999999999
"well,",7.38,7.86,5,0.4800000000000004,0.09600000000000009,10.416666666666657,0.6200000000000001,-20531.768908606035,83.26753088891653,7.62
yeah.,8.48,8.6,5,0.11999999999999922,0.023999999999999844,41.66666666666694,,-93947.83767035037,82.74078214329954,8.54
