Word,Start,End,length,time_spent,std_time_spent,speed,time,post_space,amplitude,pitch
the,0.42,0.42,3,0.0,0.0,inf,0.42,0.9000000000000001,,
president,1.32,1.76,9,0.43999999999999995,0.048888888888888885,20.454545454545457,1.54,0.06000000000000005,0.09721876013428613,235.91209270747242
byden,1.82,2.32,5,0.4999999999999998,0.09999999999999995,10.000000000000005,2.07,1.04,0.1387769099950833,142.7976928836605
is,3.36,3.62,2,0.26000000000000023,0.13000000000000012,7.692307692307685,3.49,0.17999999999999972,0.10308531690068876,149.51918275999475
running,3.8,4.08,7,0.28000000000000025,0.040000000000000036,24.99999999999998,3.94,0.040000000000000036,0.15058351157190344,169.23511409493375
for,4.12,4.2,3,0.08000000000000007,0.02666666666666669,37.499999999999964,4.16,0.05999999999999961,0.04783038876828604,111.16315134630003
real,4.26,4.48,4,0.22000000000000064,0.05500000000000016,18.18181818181813,4.37,0.0,0.08443755021748374,111.4909854608557
exist,4.48,4.86,5,0.3799999999999999,0.07599999999999998,13.15789473684211,4.67,0.6799999999999997,0.04226823277860133,108.8264614221921
everybody's,5.54,5.94,11,0.40000000000000036,0.0363636363636364,27.499999999999975,5.74,0.040000000000000036,0.10768213312793631,144.34757574733368
talking,5.98,6.22,7,0.23999999999999932,0.03428571428571419,29.16666666666675,6.1,0.0,0.05602727190788848,122.26159009468591
about,6.22,6.38,5,0.16000000000000014,0.03200000000000003,31.24999999999997,6.3,0.040000000000000036,0.08576246748696927,112.45980602600775
his,6.42,6.52,3,0.09999999999999964,0.033333333333333215,30.000000000000107,6.47,0.08000000000000007,0.051046615481294584,120.03318715342043
age,6.6,6.98,3,0.3800000000000008,0.12666666666666693,7.894736842105247,6.79,0.03999999999999915,0.13279442266946517,164.12840185988372
people,7.02,7.2,6,0.1800000000000006,0.0300000000000001,33.33333333333322,7.109999999999999,0.019999999999999574,0.029109373806476522,122.40639515989287
who,7.22,7.26,3,0.040000000000000036,0.013333333333333345,74.99999999999993,7.24,0.040000000000000036,0.02770406213911501,122.70323381138581
talk,7.3,7.48,4,0.1800000000000006,0.04500000000000015,22.222222222222147,7.390000000000001,0.019999999999999574,0.04315179713972181,122.02304472668887
about,7.5,7.68,5,0.17999999999999972,0.03599999999999994,27.77777777777782,7.59,0.040000000000000036,0.05575960538262389,115.44107550984998
his,7.72,7.8,3,0.08000000000000007,0.02666666666666669,37.499999999999964,7.76,0.0600000000000005,0.03538639997092456,111.46461032621478
poles,7.86,8.38,5,0.5200000000000005,0.10400000000000009,9.615384615384606,8.120000000000001,0.6799999999999997,0.08378090751743718,162.37024188185293
